time,avg_speed,congestion_score,queue_length,throughput,trip_completion,travel_time,waiting_time,ambulance_delay,incident_delay,reroute_count
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
3,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4,0.40771254872903223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5,0.5318834728188813,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5
6,0.5604312913739248,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5
7,1.1678515614979097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
8,2.109449321137754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
9,2.995983411582665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
10,1.9016868770648852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
11,1.0934974868636043,0.26666666666666666,2.0,0.0,0.0,0.0,0.2,0.0,0.0,5
12,0.9131771458415399,0.2,2.0,0.0,0.0,0.0,0.2,0.0,0.0,5
13,0.9884551692456401,0.1,1.0,0.0,0.0,0.0,0.3,0.0,0.0,5
14,0.6122170717802105,0.26666666666666666,4.0,0.0,0.0,0.0,0.4,0.0,0.0,5
15,0.7347395203102213,0.39999999999999997,4.0,0.0,0.0,0.0,0.6,0.0,0.0,5
16,1.226068806603644,0.2,3.0,0.0,0.0,0.0,0.8,0.0,0.0,5
17,1.8946540189055536,0.2,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5
18,1.3720916007520008,0.2,3.0,0.0,0.0,0.0,1.2,0.0,0.0,5
19,0.8424796179466499,0.2333333333333333,4.0,0.0,0.0,0.0,1.25,0.0,0.0,5
20,0.714001537831841,0.21333333333333332,4.0,0.0,0.0,0.0,1.3333333333333335,0.0,0.0,5
21,0.7550461154045003,0.21333333333333332,4.0,0.0,0.0,0.0,1.5466666666666664,0.0,0.0,5
22,0.8854659464023571,0.21333333333333332,4.0,0.0,0.0,0.0,1.7600000000000002,0.0,0.0,5
23,0.8274578091052586,0.2533333333333333,5.0,0.0,0.0,0.0,2.013333333333333,0.0,0.0,5
24,0.34576767466490405,0.27,6.0,0.0,0.0,0.0,1.9,0.0,0.0,5
25,0.452017123619158,0.22000000000000003,5.0,0.0,0.0,0.0,2.12,0.0,0.0,5
26,0.47397665629697555,0.3,7.0,0.0,0.0,0.0,2.42,0.0,0.0,5
27,0.48125526417832454,0.3,7.0,0.0,0.0,0.0,2.7199999999999998,0.0,0.0,5
28,0.300594201595371,0.3,7.0,0.0,0.0,0.0,3.02,0.0,0.0,5
29,0.3678791272614545,0.3,7.0,0.0,0.0,0.0,3.3200000000000003,0.0,0.0,5
30,0.44147607342142026,0.7,9.0,0.0,0.0,0.0,3.62,0.0,0.0,10
31,1.177691573076304,0.35,8.0,0.0,0.0,0.0,3.97,0.0,0.0,10
32,1.8419689681869205,0.35,8.0,0.0,0.0,0.0,4.32,0.0,0.0,10
33,2.869372723945091,0.35,8.0,0.0,0.0,0.0,4.67,0.0,0.0,10
34,3.831373603026082,0.35,8.0,0.0,0.0,0.0,5.0200000000000005,0.0,0.0,10
35,4.744131485593506,0.35,8.0,0.0,0.0,0.0,5.37,0.0,0.0,10
36,5.620411436596103,0.35,8.0,0.0,0.0,0.0,5.720000000000001,0.0,0.0,10
37,5.46884261726048,0.35,8.0,0.0,0.0,0.0,6.07,0.0,0.0,10
38,5.448404651264343,0.35,8.0,0.0,0.0,0.0,6.42,0.0,0.0,10
39,5.476131019773809,0.35,8.0,0.0,0.0,0.0,6.7700000000000005,0.0,0.0,10
40,5.40615800981255,0.35,9.0,0.0,0.0,0.0,6.466666666666666,0.0,0.0,10
41,4.24742660863472,0.4166666666666667,9.0,0.0,0.0,0.0,6.783333333333334,0.0,0.0,10
42,4.362522923509741,0.3166666666666667,8.0,0.0,0.0,0.0,7.1,0.0,0.0,10
43,4.677454559460277,0.3166666666666667,8.0,0.0,0.0,0.0,7.416666666666666,0.0,0.0,10
44,3.715783242440888,0.3166666666666667,8.0,0.0,0.0,0.0,7.733333333333334,0.0,0.0,10
45,2.365860425649676,0.38333333333333336,9.0,0.0,0.0,0.0,8.05,0.0,0.0,10
46,1.59057251955188,0.32142857142857145,9.0,0.0,0.0,0.0,7.757142857142857,0.0,0.0,10
47,1.5176377867782502,0.5595238095238095,10.0,0.0,0.0,0.0,8.316666666666666,0.0,0.0,10
48,1.7985563722028182,0.5595238095238095,10.0,0.0,0.0,0.0,8.876190476190477,0.0,0.0,10
49,1.7427904298766694,0.5666666666666667,11.0,0.0,0.0,0.0,8.925,0.0,0.0,10
50,2.014568605748785,0.5666666666666667,11.0,0.0,0.0,0.0,9.491666666666667,0.0,0.0,10
51,2.248591892093125,0.5666666666666667,11.0,0.0,0.0,0.0,10.058333333333334,0.0,0.0,10
52,2.1267830681825552,0.7666666666666667,12.0,0.0,0.0,0.0,10.625,0.0,0.0,10
53,2.715721071441076,0.5722222222222222,12.0,0.0,0.0,0.0,10.727777777777778,0.0,0.0,10
54,3.171729480085839,0.5722222222222222,12.0,0.0,0.0,0.0,11.299999999999999,0.0,0.0,10
55,2.462799425541209,0.5766666666666667,13.0,0.0,0.0,0.0,11.47,18.1,0.0,10
56,2.6580360625787636,0.5566666666666666,12.0,0.0,0.0,0.0,12.026666666666667,18.8,0.0,10
57,2.687342988733982,0.7566666666666667,13.0,0.0,0.0,0.0,12.783333333333333,19.5,0.0,10
58,2.5010951706008195,0.7766666666666666,14.0,0.0,0.0,0.0,13.559999999999999,20.3,0.0,10
59,2.520516049484235,0.7766666666666666,15.0,0.0,0.0,0.0,13.036666666666667,21.1,0.0,10
60,3.0434050312272856,0.6766666666666666,15.0,0.0,0.0,0.0,13.313333333333333,21.9,0.0,15
61,2.671305288456664,0.6766666666666666,15.0,0.0,0.0,0.0,13.99,22.7,0.0,15
62,2.443823854149758,0.6766666666666666,15.0,0.0,0.0,0.0,14.666666666666666,23.5,0.0,15
63,2.4404320165109867,0.7433333333333333,16.0,0.0,0.0,0.0,15.41,24.3,0.0,15
64,2.464777498370445,0.82,18.0,0.0,0.0,0.0,14.860000000000003,25.1,0.0,15
65,2.6933180329375324,0.78,17.0,0.0,0.0,0.0,15.639999999999997,25.9,0.0,15
66,2.6869925171508813,0.78,17.0,0.0,0.0,0.0,16.419999999999998,26.7,0.0,15
67,2.948004563844136,0.78,17.0,0.0,0.0,0.0,17.2,27.5,0.0,15
68,2.9163622039104795,0.8,18.0,0.0,0.0,0.0,18.0,28.4,0.0,15
69,2.9148815146803555,0.8151515151515152,20.0,0.0,0.0,0.0,17.26060606060606,26.636363636363637,0.0,15
70,2.7330435393862276,0.7636363636363637,18.0,0.0,0.0,0.0,18.024242424242424,27.454545454545453,0.0,15
71,2.8870999794573913,0.7636363636363637,18.0,0.0,0.0,0.0,18.78787878787879,28.272727272727273,0.0,15
72,3.031814079302589,0.7636363636363637,18.0,0.0,0.0,0.0,19.551515151515154,29.09090909090909,0.0,15
73,3.1424949100605124,0.7666666666666667,19.0,0.0,0.0,0.0,19.81666666666667,27.416666666666668,0.0,15
74,3.207520604222983,0.7692307692307693,20.0,0.0,0.0,0.0,20.14871794871795,26.076923076923077,0.0,15
75,3.6732107655869455,0.7538461538461538,19.0,0.0,0.0,0.0,20.902564102564106,26.846153846153847,0.0,15
76,3.7348848464674353,0.7538461538461538,19.0,0.0,0.0,0.0,21.656410256410258,27.615384615384617,0.0,15
77,3.3543229744251164,0.7538461538461538,19.0,0.0,0.0,0.0,22.410256410256412,28.384615384615383,0.0,15
78,2.9227298124819527,0.7571428571428571,20.0,0.0,0.0,0.0,22.747619047619047,27.071428571428573,0.0,15
79,2.4407428973483243,0.7428571428571429,19.0,0.0,0.0,0.0,23.490476190476194,27.785714285714285,0.0,15
80,1.875924465945379,0.7428571428571429,19.0,0.0,0.0,0.0,24.233333333333334,28.5,0.0,15
81,1.8567734339115425,0.7466666666666667,20.0,0.0,0.0,0.0,24.586666666666666,27.266666666666666,0.0,15
82,1.8336925369260406,0.7375,20.0,0.0,0.0,0.0,24.970833333333335,26.1875,0.0,15
83,1.88675392283246,0.7375,20.0,0.0,0.0,0.0,25.708333333333332,26.875,0.0,15
84,1.9633468499783835,0.8333333333333333,20.0,0.0,0.0,0.0,26.886666666666667,29.266666666666666,0.0,15
85,1.826370819809728,0.8476190476190476,21.0,0.0,0.0,0.0,26.772380952380956,29.933333333333334,0.0,15
86,1.931650879604561,0.819047619047619,20.0,0.0,0.0,0.0,27.591428571428573,30.6,0.0,15
87,2.035237855974067,0.819047619047619,20.0,0.0,0.0,0.0,28.410476190476192,31.266666666666666,0.0,15
88,2.0693263803082984,0.819047619047619,21.0,0.0,0.0,0.0,27.229523809523812,31.933333333333334,0.0,15
89,2.2406793273542607,0.7523809523809524,20.0,0.0,0.0,0.0,27.981904761904765,32.6,0.0,15
90,2.2678161403430956,0.7523809523809524,20.0,0.0,0.0,0.0,28.734285714285715,33.266666666666666,0.0,20
91,2.3753328670409224,0.7523809523809524,21.0,0.0,0.0,0.0,27.72,33.93333333333333,0.0,20
92,2.5944557677452833,0.7023809523809523,22.0,0.0,0.0,0.0,27.985714285714288,32.5,0.0,20
93,2.905103740810682,0.6898809523809523,21.0,0.0,0.0,0.0,28.67559523809524,33.1875,0.0,20
94,3.2026235234241573,0.6898809523809523,21.0,0.0,0.0,0.0,29.365476190476187,33.875,0.0,20
