time,avg_speed,congestion_score,queue_length,throughput,trip_completion,travel_time,waiting_time,ambulance_delay,incident_delay,reroute_count
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5
6,0.2634938518796116,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5
7,1.0157722643343732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
8,1.8087644923152404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
9,2.6299623215943577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
10,3.445353712262586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
11,3.105831460407935,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5
12,3.95821224315092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
13,4.850525917300768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
14,4.7126726260043865,0.1,1.0,0.0,0.0,0.0,0.1,0.0,0.0,5
15,4.879739162592832,0.3,2.0,0.0,0.0,0.0,0.2,0.0,0.0,5
16,5.161426893929613,0.1,1.0,0.0,0.0,0.0,0.3,0.0,0.0,5
17,5.755459222057142,0.1,1.0,0.0,0.0,0.0,0.4,0.0,0.0,5
18,4.927221490904794,0.1,1.0,0.0,0.0,0.0,0.5,0.0,0.0,5
19,3.1946442685096295,0.2,2.0,0.0,0.0,0.0,0.6,0.0,0.0,5
20,2.729608988043921,0.16666666666666666,2.0,0.0,0.0,0.0,0.7,0.0,0.0,5
21,2.5666710567467534,0.16666666666666666,2.0,0.0,0.0,0.0,0.8666666666666666,0.0,0.0,5
22,2.4304212188783723,0.16666666666666666,2.0,0.0,0.0,0.0,1.0333333333333334,0.0,0.0,5
23,1.996936117964486,0.16666666666666666,2.0,0.0,0.0,0.0,1.2,0.0,0.0,5
24,1.1424448759918537,0.2,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5
25,1.1554049518847331,0.2,3.0,0.0,0.0,0.0,1.2,0.0,0.0,5
26,1.2829694649268506,0.26666666666666666,4.0,0.0,0.0,0.0,1.4666666666666666,0.0,0.0,5
27,1.315425335940782,0.26666666666666666,4.0,0.0,0.0,0.0,1.7333333333333336,0.0,0.0,5
28,1.3947189328247043,0.26666666666666666,4.0,0.0,0.0,0.0,2.0,0.0,0.0,5
29,1.5012895781192932,0.26666666666666666,4.0,0.0,0.0,0.0,2.2666666666666666,0.0,0.0,5
30,1.6483597797205054,0.6666666666666666,6.0,0.0,0.0,0.0,2.5333333333333337,0.0,0.0,10
31,1.8393767849778135,0.26666666666666666,4.0,0.0,0.0,0.0,2.8,0.0,0.0,10
32,1.9411221738023066,0.26666666666666666,4.0,0.0,0.0,0.0,3.0666666666666664,0.0,0.0,10
33,2.5177670732655875,0.3333333333333333,5.0,0.0,0.0,0.0,3.4,0.0,0.0,10
34,3.287437092904002,0.4,6.0,0.0,0.0,0.0,3.8,0.0,0.0,10
35,4.203251143004746,0.4,6.0,0.0,0.0,0.0,4.2,0.0,0.0,10
36,5.157743180663476,0.4,6.0,0.0,0.0,0.0,4.6,0.0,0.0,10
37,5.007184351337293,0.4,6.0,0.0,0.0,0.0,5.0,0.0,0.0,10
38,4.975303734288702,0.4,6.0,0.0,0.0,0.0,5.4,0.0,0.0,10
39,5.004407196519116,0.4,6.0,0.0,0.0,0.0,5.8,0.0,0.0,10
40,4.93198965748694,0.4,7.0,0.0,0.0,0.0,5.35,0.0,0.0,10
41,3.772978537894666,0.45,7.0,0.0,0.0,0.0,5.7,0.0,0.0,10
42,3.883460956620399,0.35,6.0,0.0,0.0,0.0,6.05,0.0,0.0,10
43,4.22688225013029,0.35,6.0,0.0,0.0,0.0,6.4,0.0,0.0,10
44,3.051569812519589,0.35,6.0,0.0,0.0,0.0,6.75,0.0,0.0,10
45,1.745619716888124,0.4166666666666667,7.0,0.0,0.0,0.0,7.1,0.0,0.0,10
46,0.9114890624979889,0.36,7.0,0.0,0.0,0.0,6.76,0.0,0.0,10
47,1.0383623990819502,0.5866666666666667,8.0,0.0,0.0,0.0,7.346666666666667,0.0,0.0,10
48,1.2159910659144852,0.5866666666666667,8.0,0.0,0.0,0.0,7.933333333333333,0.0,0.0,10
49,1.1783801831699159,0.6,9.0,0.0,0.0,0.0,8.0,0.0,0.0,10
50,1.5120860592339798,0.6,9.0,0.0,0.0,0.0,8.6,0.0,0.0,10
51,1.7023469138970673,0.6,9.0,0.0,0.0,0.0,9.2,0.0,0.0,10
52,1.6952999378846567,0.8,10.0,0.0,0.0,0.0,9.8,0.0,0.0,10
53,2.1075594431396527,0.6095238095238096,10.0,0.0,0.0,0.0,9.952380952380953,0.0,0.0,10
54,2.584172137655492,0.6095238095238096,10.0,0.0,0.0,0.0,10.56190476190476,0.0,0.0,10
55,1.9335903115124295,0.6166666666666667,11.0,0.0,0.0,0.0,10.8,0.0,0.0,10
56,2.042480149053022,0.6166666666666667,11.0,0.0,0.0,0.0,11.416666666666668,0.0,0.0,10
57,2.059203882328005,0.8166666666666668,12.0,0.0,0.0,0.0,12.233333333333333,0.0,0.0,10
58,2.0933424789657424,0.8166666666666668,12.0,0.0,0.0,0.0,13.05,0.0,0.0,10
59,2.1151582300882326,0.8166666666666668,13.0,0.0,0.0,0.0,12.566666666666666,0.0,0.0,10
60,2.488705523866231,0.7166666666666667,12.0,0.0,0.0,0.0,13.283333333333331,0.0,0.0,15
61,2.6966107089958133,0.7166666666666667,12.0,0.0,0.0,0.0,14.0,0.0,0.0,15
62,3.0293417502965836,0.7166666666666667,13.0,0.0,0.0,0.0,14.116666666666669,0.0,0.0,15
63,3.434664151564091,0.6166666666666667,12.0,0.0,0.0,0.0,14.733333333333334,0.0,0.0,15
64,3.8187654416615517,0.6166666666666667,13.0,0.0,0.0,0.0,13.45,0.0,0.0,15
65,4.269907957006588,0.5666666666666667,12.0,0.0,0.0,0.0,14.01666666666667,0.0,0.0,15
66,4.485898282651404,0.5666666666666667,12.0,0.0,0.0,0.0,14.583333333333332,0.0,0.0,15
67,4.491792190435655,0.5666666666666667,12.0,0.0,0.0,0.0,15.15,0.0,0.0,15
68,4.071051803431904,0.5666666666666667,12.0,0.0,0.0,0.0,15.716666666666665,0.0,0.0,15
69,4.081182590787327,0.6044444444444446,15.0,0.0,0.0,0.0,14.493333333333334,0.0,0.0,15
70,3.9986205042557827,0.6422222222222222,14.0,0.0,0.0,0.0,15.135555555555555,0.0,0.0,15
71,4.109831587382153,0.6422222222222222,14.0,0.0,0.0,0.0,15.777777777777777,0.0,0.0,15
72,4.184994267873696,0.6422222222222222,14.0,0.0,0.0,0.0,16.42,0.0,0.0,15
73,4.062407228120475,0.68,15.0,0.0,0.0,0.0,17.48,0.0,0.0,15
74,4.154441883148818,0.6836363636363637,16.0,0.0,0.0,0.0,17.75090909090909,0.0,0.0,15
75,4.564022817131372,0.6654545454545454,15.0,0.0,0.0,0.0,18.416363636363634,0.0,0.0,15
76,4.6957516168765165,0.6654545454545454,15.0,0.0,0.0,0.0,19.081818181818182,0.0,0.0,15
77,4.3043088865145425,0.6654545454545454,15.0,0.0,0.0,0.0,19.747272727272726,0.0,0.0,15
78,3.845211218259503,0.67,16.0,0.0,0.0,0.0,20.023333333333333,0.0,0.0,15
79,3.294909094207737,0.6533333333333333,15.0,0.0,0.0,0.0,20.676666666666666,0.0,0.0,15
80,2.7719216497670907,0.6533333333333333,15.0,0.0,0.0,0.0,21.330000000000002,0.0,0.0,15
81,2.7895120006630565,0.6584615384615384,16.0,0.0,0.0,0.0,21.623076923076923,0.0,0.0,15
82,2.7258217625192858,0.6485714285714286,16.0,0.0,0.0,0.0,21.94857142857143,0.0,0.0,15
83,2.8586891695985717,0.6485714285714286,16.0,0.0,0.0,0.0,22.59714285714286,0.0,0.0,15
84,2.8999702266571727,0.7430769230769231,16.0,0.0,0.0,0.0,23.652307692307694,0.0,0.0,15
85,2.993650121239364,0.7430769230769231,16.0,0.0,0.0,0.0,24.395384615384614,0.0,0.0,15
86,3.0799943407618318,0.7430769230769231,16.0,0.0,0.0,0.0,25.138461538461538,0.0,0.0,15
87,3.110392348924485,0.7430769230769231,16.0,0.0,0.0,0.0,25.88153846153846,0.0,0.0,15
88,3.1177673028252353,0.7430769230769231,17.0,0.0,0.0,0.0,24.924615384615386,0.0,0.0,15
89,3.223237680874921,0.6764102564102564,16.0,0.0,0.0,0.0,25.601025641025643,0.0,0.0,15
90,3.2107669285721143,0.6764102564102564,16.0,0.0,0.0,0.0,26.277435897435897,0.0,0.0,20
91,3.0192961944332666,0.6764102564102564,17.0,0.0,0.0,0.0,25.18717948717949,0.0,0.0,20
92,2.879772478035439,0.6152380952380951,17.0,0.0,0.0,0.0,25.39142857142857,0.0,0.0,20
93,2.812770163321619,0.6009523809523809,16.0,0.0,0.0,0.0,25.992380952380948,0.0,0.0,20
94,3.034139001502825,0.6009523809523809,16.0,0.0,0.0,0.0,26.593333333333334,0.0,0.0,20
95,3.2714283476556942,0.7152380952380952,18.0,0.0,0.0,0.0,27.30857142857143,0.0,0.0,20
96,3.4340009001428156,0.72,19.0,0.0,0.0,0.0,27.639999999999997,0.0,0.0,20
97,3.6291293679438645,0.72,19.0,0.0,0.0,0.0,28.359999999999996,0.0,0.0,20
